source,target,weight
58864876,65116894,1
95391479,56742651,1
95391479,34128857,1
25801550,96294923,1
55762359,53884327,1
42314346,78127355,1
70947459,36716787,1
72925615,90395400,1
9949194,2598964,1
93156967,14475720,1
74025836,87129992,4
91519769,2598964,1
36852913,2598964,1
55231398,53884327,1
25788905,95355134,1
75376461,33295329,1
89750836,53884327,1
45111496,95355134,1
13886055,53884327,1
96552237,15972792,1
13886055,95355134,1
13886055,72173705,4
13886055,9663742,1
95317705,87129992,2
43643990,55949073,2
43643990,63649393,1
12654602,819665,2
48476642,42936281,3
17392847,33295329,1
70168501,53493374,1
89750836,95355134,1
83265269,24324066,5
17392847,95355134,1
65985091,96294923,1
52070123,15972792,1
61464361,7669939,1
7583772,26467170,6
88825505,39434829,1
36309169,39434829,1
36309169,89973818,1
36309169,65116894,1
3269605,31346162,3
57235422,95355134,1
37321859,97382002,2
47874634,65116894,1
67853866,65116894,1
32403023,97382002,2
92053500,31346162,1
68789085,31346162,3
27827896,65116894,1
37441152,15972792,1
85278640,97382002,2
82455342,73556233,1
1100123,12036144,1
76408872,41683487,1
73706213,97382002,1
45192883,33701534,1
66677097,97382002,1
65985091,36006222,1
43410047,56333932,1
32816599,27822384,4
75376461,15697392,2
20422483,89973818,2
82455342,95765034,2
134794,15697392,1
74696294,77075734,3
20074152,49261032,2
28569950,42936281,5
2135162,15697392,1
53087240,61085536,1
89074082,23687239,1
38773152,45305600,1
36753539,46074709,1
14777179,246824,4
49867992,56333932,1
61085536,1820227,1
54153353,52465314,1
34159135,15896377,2
97039311,77792424,12
75376461,92053500,2
88563079,92053500,1
43410047,41683487,1
7175750,53378308,1
89460620,7175750,1
69672062,15697392,1
69672062,89973818,1
94553933,95288339,1
40464931,95026042,2
26976856,72173705,1
22497957,95026042,1
44632826,15697392,1
89495019,1208350,2
46292963,16238318,3
97190895,31938042,1
14450194,69614174,1
44499652,26987973,8
11154956,12711275,1
13567631,9515916,1
85760664,246824,2
38085694,13584432,6
94401983,246824,3
88825505,92053500,1
95391479,59533749,1
17092064,64532837,1
9848995,92053500,1
31355737,49261032,2
68974130,97382002,3
81644396,97382002,5
70155768,59533749,1
92053500,15697392,1
17092064,33295329,1
57995388,56742651,1
18913828,49261032,2
67848183,72173705,1
70155768,64532837,1
70155768,33295329,1
7583772,49261032,5
53912617,89973818,3
7583772,246824,4
79425270,92053500,1
7583772,56610896,1
81651203,92053500,1
39149654,49261032,8
64915146,43232737,15
1004696,89973818,2
14449766,72173705,2
9107240,28836917,2
95391479,15697392,1
45111496,92053500,1
55762359,75922144,1
25788905,60705670,1
71888706,95765034,1
9494783,77792424,1
51778721,92053500,2
27643385,92053500,2
26532213,45113309,1
26532213,76122223,2
13344908,33295329,1
95135529,33295329,1
59909494,246824,4
15294200,27230170,3
10580962,93322196,15
87865259,92053500,2
6314605,88784279,6
96922398,77792424,1
99895617,75922144,1
56721084,246824,2
82865101,81442990,2
49119829,62384794,1
62596632,246824,1
39467755,47495235,3
7131802,246824,2
36753539,97382002,1
78505263,97898629,1
8152867,44881144,1
23639240,75922144,1
8967965,50245601,2
68098119,56610896,1
83265269,66510845,3
35640750,246824,5
36108085,246824,2
81166408,97382002,1
89706475,27650073,1
89706475,2105215,1
89706475,10593766,1
27265866,246824,4
89706475,26876173,1
38928361,15697392,5
39762458,88784279,3
70424975,76122223,2
70424975,45113309,1
38928361,99895617,1
89706475,56742651,1
71760376,246824,3
89706475,95391479,1
84360501,89973818,1
38928361,34252900,1
38928361,86231890,2
89706475,74234169,1
58417407,24011228,1
22811501,27822384,3
38928361,70986556,1
89706475,64532837,1
78113946,31870300,3
59182739,54265539,1
89706475,52465314,1
89706475,33295329,1
89706475,85679594,1
62043373,46074709,2
56721084,66510845,3
49702625,3839148,3
56721084,24011228,1
88816670,34605883,6
34224797,34605883,6
97190895,98394544,1
57235422,86231890,1
71888706,41683487,2
45192883,46074709,3
95391479,89973818,3
11767966,90395400,1
44491136,9945162,3
84892320,93322196,2
7703950,26987973,11
