created_date;is_retweet;text;text_retweet;language;hashtags;mentions;location;geo_location;geo_country;geo_coordinates;user_created_at;screen_name;name;profile_description;total_number_of_tweets;is_verified;followers_count;friends_count;retweets_count;favorite_count;url;listed_count;default_profile;default_profile_image;has_extended_profile;language_desc;tweet_full;pre_proc_tweet;stop_filter_tweet;pos_tags;stem_filter;lemma_filter;bot;id
2019-03-17 01:29:48;False;"I legitimately think that because 53% white women voted for trump , a lot of anger came their way in these 2 years. 
But way beyond that a flood of repressed memories came out with #metoo and living with a white... https://t.co/Fcqzof9yms";;en;'metoo';;;;;;2008-06-28 02:10:34;aschleigh;Aschleigh;Democrat, feminist, political junky,  anti white supremacist, wanderer of the world;48513;False;1869;4988;0;1;https://t.co/9t0DD50aaf;12;True;False;False;english;"I legitimately think that because 53% white women voted for trump , a lot of anger came their way in these 2 years. 
But way beyond that a flood of repressed memories came out with #metoo and living with a white... https://t.co/Fcqzof9yms";"i legitimately think that because 53% white women voted for trump , a lot of anger came their way in these 2 years. 
but way beyond that a flood of repressed memories came out with  and living with a white... ";legitimately think 53 % white women voted trump , lot anger came way 2 years . way beyond flood repressed memories came living white ... ;[('legitimately', 'RB'), ('think', 'VBP'), ('53', 'CD'), ('%', 'NN'), ('white', 'JJ'), ('women', 'NNS'), ('voted', 'VBD'), ('trump', 'NN'), (',', ','), ('lot', 'NN'), ('anger', 'NN'), ('came', 'VBD'), ('way', 'NN'), ('2', 'CD'), ('years', 'NNS'), ('.', '.'), ('way', 'NN'), ('beyond', 'IN'), ('flood', 'NN'), ('repressed', 'JJ'), ('memories', 'NNS'), ('came', 'VBD'), ('living', 'VBG'), ('white', 'JJ'), ('...', ':')];legitim think 53 % white women vote trump , lot anger came way 2 year . way beyond flood repress memori came live white ...;legitimately think 53 % white woman vote trump , lot anger come way 2 year . way beyond flood repressed memory come live white ...;0;642
2019-03-17 01:29:41;False;#metoo Chowkidar is more apt for this Tharki Uncle https://t.co/3uSHpQ4N6H;;en;'metoo';;Mumbai;Sholinganallur, India;;;2009-08-14 13:22:55;Suresh_Nair_23;Suresh Nair;Dreamer , Food Artist , Natural Risk Taker, love talking about market , opportunities &  growth.. loves to build , engage , innovate & travel..;8231;False;260;1051;0;0;;13;False;False;True;english;#metoo Chowkidar is more apt for this Tharki Uncle https://t.co/3uSHpQ4N6H; chowkidar is more apt for this tharki uncle ;chowkidar apt tharki uncle ;[('chowkidar', 'NN'), ('apt', 'NN'), ('tharki', 'NN'), ('uncle', 'NN')];chowkidar apt tharki uncl;chowkidar apt tharki uncle;0;643
2019-03-17 01:29:10;False;"According to UN Women, at least 35% of ALL women worldwide have experienced violence during their lives. 

HOW can we prevent this from happening? 

https://t.co/rIsjCyqjvB
#feminism #metoo https://t.co/571ylrRfth";;en;'feminism', 'metoo';;Finland|Europe|Earth|Online;;;;2011-07-06 18:40:53;annemariayritys;Anne-Maria Yritys;"Digi & SOME #Strategist & #GREEN #FEMINIST - Twitter billionaire with + 1.000.000.000 views. 
FW/RT = no endorsement. Biz inquiries: https://t.co/Js2LmU3mnp";773640;False;454295;250190;0;0;https://t.co/AD81bRVnas;2007;False;False;False;english;"According to UN Women, at least 35% of ALL women worldwide have experienced violence during their lives. 

HOW can we prevent this from happening? 

https://t.co/rIsjCyqjvB
#feminism #metoo https://t.co/571ylrRfth";"according to un women, at least 35% of all women worldwide have experienced violence during their lives. 

how can we prevent this from happening? 


  ";according un women , least 35 % women worldwide experienced violence lives . prevent happening ? ;[('according', 'VBG'), ('un', 'JJ'), ('women', 'NNS'), (',', ','), ('least', 'JJS'), ('35', 'CD'), ('%', 'NN'), ('women', 'NNS'), ('worldwide', 'RB'), ('experienced', 'VBD'), ('violence', 'NN'), ('lives', 'NNS'), ('.', '.'), ('prevent', 'NN'), ('happening', 'VBG'), ('?', '.')];accord un women , least 35 % women worldwid experienc violenc live . prevent happen ?;accord un woman , least 35 % woman worldwide experience violence life . prevent happen ?;0;645
2019-03-17 01:28:44;False;"@DesiOptimystic @vel_jaya @ndtv @sagarikaghose Bhaskar Ghose is chief molester of @DDNational . No wonder he is said to be father of Khabarandi Semenika 
#MeTooIndia 
#MeToo";;en;'MeTooIndia', 'MeToo';'DesiOptimystic' 'vel_jaya' 'ndtv' 'sagarikaghose' 'DDNational';;;;;2014-05-10 06:40:30;AmiPhit71;AMIPHIT;;4618;False;26;48;1;1;;3;True;False;False;english;"@DesiOptimystic @vel_jaya @ndtv @sagarikaghose Bhaskar Ghose is chief molester of @DDNational . No wonder he is said to be father of Khabarandi Semenika 
#MeTooIndia 
#MeToo";"    bhaskar ghose is chief molester of  . no wonder he is said to be father of khabarandi semenika 
 
";bhaskar ghose chief molester . wonder said father khabarandi semenika ;[('bhaskar', 'NN'), ('ghose', 'NN'), ('chief', 'JJ'), ('molester', 'NN'), ('.', '.'), ('wonder', 'NN'), ('said', 'VBD'), ('father', 'PRP$'), ('khabarandi', 'NN'), ('semenika', 'NN')];bhaskar ghose chief molest . wonder said father khabarandi semenika;bhaskar ghose chief molester . wonder say father khabarandi semenika;0;646
2019-03-17 01:28:42;True;;"RT @MehekF: @mjakbar Bath robe wale uncle,  u were Congress bootlicker till a few years back. So go rest. 
#MeToo";en;'MeToo';'MehekF' 'mjakbar';Hyderabad, India ;;;;2009-06-03 00:39:43;shaukatmohammed;Shaukat Mohammed;;101;False;42;153;11;0;;0;True;True;False;english;"RT @MehekF: @mjakbar Bath robe wale uncle,  u were Congress bootlicker till a few years back. So go rest. 
#MeToo";"   bath robe wale uncle,  u were congress bootlicker till a few years back. so go rest. 
";bath robe wale uncle , u congress bootlicker till years back . go rest . ;[('bath', 'NN'), ('robe', 'NN'), ('wale', 'JJ'), ('uncle', 'NN'), (',', ','), ('u', 'JJ'), ('congress', 'NN'), ('bootlicker', 'NN'), ('till', 'NN'), ('years', 'NNS'), ('back', 'RB'), ('.', '.'), ('go', 'VB'), ('rest', 'NN'), ('.', '.')];bath robe wale uncl , u congress bootlick till year back . go rest .;bath robe wale uncle , u congress bootlicker till year back . go rest .;0;647
2019-03-17 01:28:19;False;Loses to bum #MeToo;;en;'MeToo';;Dont Worry About It;;;;2015-05-29 20:37:51;GlitchedJumper;Bomp Square Spammer;YT- https://t.co/qS7auKKSAZ Comp Cage Player| I Am A Clown | Comp Wheel Spinner|;2101;False;206;91;0;1;;0;True;False;False;english;Loses to bum #MeToo;loses to bum ;loses bum ;[('loses', 'NNS'), ('bum', 'VBP')];lose bum;loses bum;0;648
2019-03-17 01:28:13;False;"#I_Have_a_Dream😊#MeToo  😍
#Freedom #Justice &amp; #Democracy😍🤗

We have forgotten the age-old fact that God speaks chiefly through dreams and visions.

#Quote 😀#Team_1W1Lツ👉C G Jung https://t.co/lwRujn4f85";;en;'I_Have_a_Dream', 'MeToo', 'Freedom', 'Justice', 'Democracy', 'Quote', 'Team_1W1Lツ';;Near me ... most of the time ...;;;;2018-11-02 12:58:23;Paolo_Pap_1;Paolo;🖕🐸Ciao ... People ... 👉#I_Have_a_Dream😊#MeToo  😍#Freedom #Justice & #Democracy😍🤗#Quote ...😀#Team_1W1Lツ😀Thank you for visiting my World ...;114620;False;1366;1339;0;0;https://t.co/L0FNLpPEMd;3;True;False;True;english;"#I_Have_a_Dream😊#MeToo  😍
#Freedom #Justice &amp; #Democracy😍🤗

We have forgotten the age-old fact that God speaks chiefly through dreams and visions.

#Quote 😀#Team_1W1Lツ👉C G Jung https://t.co/lwRujn4f85";"  😍
  &amp; emocracy😍🤗

we have forgotten the age-old fact that god speaks chiefly through dreams and visions.

 😀 g jung ";"😍 & amp ; emocracy😍🤗 forgotten age-old fact god speaks chiefly dreams visions . 😀 g jung ";"[('😍', 'NN'), ('&', 'CC'), ('amp', 'NN'), (';', ':'), ('emocracy😍🤗', 'CC'), ('forgotten', 'VB'), ('age-old', 'JJ'), ('fact', 'NN'), ('god', 'NN'), ('speaks', 'VBZ'), ('chiefly', 'JJ'), ('dreams', 'JJ'), ('visions', 'NNS'), ('.', '.'), ('😀', 'VB'), ('g', 'NN'), ('jung', 'NN')]";"😍 & amp ; emocracy😍🤗 forgotten age-old fact god speak chiefli dream vision . 😀 g jung";"😍 & amp ; emocracy😍🤗 forget age-old fact god speak chiefly dreams vision . 😀 g jung";0;649
2019-03-17 01:27:30;False;"Today's Doublespeak: Senator Gillibrand failed to investigate allegations of sexual harassment by an employee after sponsoring the  bipartisan Harassment Reform Act cuz ""Congress has a sexual harassment problem--and isn't taking it seriously"" #EtTu #MeToo
https://t.co/Pu7PLWUueP";;en;'EtTu', 'MeToo';;;;;;2008-12-18 14:56:05;lindend;Linden deCarmo;Christian, software architect, history buff, small government, strict constitutionalist, multimedia enthusiast, Miami hurricane, heat & dolphins fan.;18752;False;560;1062;0;0;http://t.co/dHIQN8x9fk;28;True;False;False;english;"Today's Doublespeak: Senator Gillibrand failed to investigate allegations of sexual harassment by an employee after sponsoring the  bipartisan Harassment Reform Act cuz ""Congress has a sexual harassment problem--and is not taking it seriously"" #EtTu #MeToo
https://t.co/Pu7PLWUueP";"today's doublespeak: senator gillibrand failed to investigate allegations of sexual harassment by an employee after sponsoring the  bipaisan harassment reform act cuz ""congress has a sexual harassment problem--and is not taking it seriously""  
";today 's doublespeak : senator gillibrand failed investigate allegations sexual harassment employee sponsoring bipaisan harassment reform act cuz `` congress sexual harassment problem -- taking seriously '' ;"[('today', 'NN'), (""'s"", 'POS'), ('doublespeak', 'NN'), (':', ':'), ('senator', 'NN'), ('gillibrand', 'NN'), ('failed', 'VBD'), ('investigate', 'JJ'), ('allegations', 'NNS'), ('sexual', 'JJ'), ('harassment', 'NN'), ('employee', 'NN'), ('sponsoring', 'VBG'), ('bipaisan', 'JJ'), ('harassment', 'NN'), ('reform', 'NN'), ('act', 'NN'), ('cuz', 'NN'), ('``', '``'), ('congress', 'JJ'), ('sexual', 'JJ'), ('harassment', 'NN'), ('problem', 'NN'), ('--', ':'), ('taking', 'VBG'), ('seriously', 'RB'), ('``', '``')]";today 's doublespeak : senat gillibrand fail investig alleg sexual harass employe sponsor bipaisan harass reform act cuz `` congress sexual harass problem -- take serious ``;today 's doublespeak : senator gillibrand fail investigate allegation sexual harassment employee sponsor bipaisan harassment reform act cuz `` congress sexual harassment problem -- take seriously ``;0;650
2019-03-17 01:27:24;True;;RT @newbooksplease: A haunted FBI agent and his team are on the hunt for a female serial killer. This time, the predators lose. 6-book Thri…;en;;'newbooksplease';Miami, FL;;;;2016-07-01 18:04:52;MiamiPapers;Miami Secret Papers;#MiamiSecretPapers shining a light on the working conditions of @MiamiDadeCounty!;252537;False;5332;309;1;0;https://t.co/zCNmJE2E2H;49;False;False;True;english;RT @newbooksplease: A haunted FBI agent and his team are on the hunt for a female serial killer. This time, the predators lose. 6-book Thri…;  a haunted fbi agent and his team are on the hunt for a female serial killer. this time, the predators lose. 6-book thri…;haunted fbi agent team hunt female serial killer . time , predators lose . 6-book thri… ;[('haunted', 'VBN'), ('fbi', 'JJ'), ('agent', 'NN'), ('team', 'NN'), ('hunt', 'NN'), ('female', 'JJ'), ('serial', 'JJ'), ('killer', 'NN'), ('.', '.'), ('time', 'NN'), (',', ','), ('predators', 'NNS'), ('lose', 'VBP'), ('.', '.'), ('6-book', 'CD'), ('thri…', 'NN')];haunt fbi agent team hunt femal serial killer . time , predat lose . 6-book thri…;haunt fbi agent team hunt female serial killer . time , predator lose . 6-book thri…;0;651
2019-03-17 01:27:00;False;A haunted FBI agent and his team are on the hunt for a female serial killer. This time, the predators lose. 6-book Thriller Award-nominated series on sale, 99c https://t.co/gNC5zWGeAR #MeToo #TimesUp #Resist @AlexSokoloff https://t.co/w9Awso30yt;;en;'MeToo', 'TimesUp', 'Resist';'AlexSokoloff';Ireland;;;;2012-01-07 08:59:01;newbooksplease;Readers & Writers;Author, translated into 10 languages, now promoting other authors too with free support.;126375;False;127542;118267;1;0;https://t.co/FxZWeVRE1v;2033;False;False;False;english;A haunted FBI agent and his team are on the hunt for a female serial killer. This time, the predators lose. 6-book Thriller Award-nominated series on sale, 99c https://t.co/gNC5zWGeAR #MeToo #TimesUp #Resist @AlexSokoloff https://t.co/w9Awso30yt;a haunted fbi agent and his team are on the hunt for a female serial killer. this time, the predators lose. 6-book thriller award-nominated series on sale, 99c      ;haunted fbi agent team hunt female serial killer . time , predators lose . 6-book thriller award-nominated series sale , 99c ;[('haunted', 'VBN'), ('fbi', 'JJ'), ('agent', 'NN'), ('team', 'NN'), ('hunt', 'NN'), ('female', 'JJ'), ('serial', 'JJ'), ('killer', 'NN'), ('.', '.'), ('time', 'NN'), (',', ','), ('predators', 'NNS'), ('lose', 'VBP'), ('.', '.'), ('6-book', 'JJ'), ('thriller', 'NN'), ('award-nominated', 'JJ'), ('series', 'NN'), ('sale', 'NN'), (',', ','), ('99c', 'CD')];haunt fbi agent team hunt femal serial killer . time , predat lose . 6-book thriller award-nomin seri sale , 99c;haunt fbi agent team hunt female serial killer . time , predator lose . 6-book thriller award-nominated series sale , 99c;0;652
