BugSQ3LAKwccaption,comment_count,display_url,id_,is_ad,likes_count,loc_id,loc_lat,loc_lon,loc_name,owner_fullname,owner_id,owner_username,shortcode,tagged_user,taken_at_timestamp
#savingsex4marriage #worththewait #metoo #churchtoo #yesallwomen via @RiplApp,0,https://instagram.fyvr3-1.fna.fbcdn.net/vp/d5ec43348dff0de22944ece76f474d62/5D0B862D/t51.2885-15/e35/52703038_144721153223858_3673708824261529641_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990657114804353989,False,0,0,0,0,,Anjanette Potter,3095735495,adamsrib66,BugPBlVhHvF,,1551524842
"やったーやったーやったったー！！
✺◟(∗❛ัᴗ❛ั∗)◞✺ 待ちに待った
#にっぽんの祝日カレンダー が入荷しました！😆㊗️ これで #ようさんと古事記in倉敷 でもサイン入りを販売できるどー！

#サインの練習せんと
#いらんがな！ ※MMKT（萌え萌え惠子たんこと母）のお肌補正をすると
カレンダーの色まで白くなるので
今回は修正無しでお届け致します。
心よりお詫び申し上げます。

#チームにっぽん大好き #祝日には国旗を掲げましょう #日本大好き #MeToo",0,https://instagram.fyvr3-1.fna.fbcdn.net/vp/1914daa8403026bbf1440dd092305853/5D12DE5C/t51.2885-15/e35/52684748_565503153952151_291277422299596141_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990657274808730956,False,3,0,0,0,,後藤佳奈•̀.̫•́✧火の玉こよみスト,646422344,kanaboon510,BugPD6WhYVM,,1551524861
Grootvorst ziet skôn bipske en kan zich niet inhouden 🍑 #metoo #carnaval #misterygueststaaterookop,0,https://instagram.fyvr3-1.fna.fbcdn.net/vp/d2549e4aebe34565a715d9111ca05cab/5D1A5A53/t51.2885-15/e35/52590782_2306787326311261_3265765296419146528_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990658103804463631,False,3,0,0,0,,cvdebipskes,4713896008,cvdebipskes,BugPP-ahIoP,,1551524960
when you’re about to cum #notme #definitelynotme #inlove #vegan #veganlifestyle #boy #singlegirl #singleboy #notsolo #beard #beardlover #ichbin #gay #gayboy #gayboytim #manofthedeath #norden #musclegirl #train #gym #metoo #imissthetimewheniwasntdepressed #auameinpopo #süß #gießenisthässlich #dontsmileatme #jürgenvogel #metallica,0,https://instagram.fyvr3-1.fna.fbcdn.net/vp/e9369c98f868a076c8e8ac7a21e7c113/5C7C931A/t51.2885-15/e15/51694810_2277393635807932_1238945739879351030_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990656198499749908,False,10,0,0,0,,Max,3297802633,maxwell_hii,BugO0P9gdAU,,1551525004
Like why am I up at 5am? #illuminati #meme #memes #funnymemes #memesfordays #relatablememes #same #relatable #me #metoo #tooreal #qualitymemes,0,https://instagram.fyvr3-1.fna.fbcdn.net/vp/171f2fb118986f23233a639b7641d293/5D0A6906/t51.2885-15/e35/52029415_2193486947571372_1528978112781103074_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990658647865519158,False,52,0,0,0,,Illumanati,1954856661,theilluminatiiiii,BugPX5HFWw2,,1551525024
"Yesterday I posted a screenshot of messages that I had recieved from a man I don't know. He told me that he was sexually aroused whaching my character on a tv show being held as a hostage and tied up. I posted also my thoughts: ""I'm sick of these type of messages. Seriously why would you send these type of messages to a person who doesn't even know you? It just makes her feel very uncomfortable."" That wasn't an unusual text. I get plenty of DMs and comments from strange men telling me about their sexual response of seeing my pictures, characters I've played or even hearing my voice. I can say that I have already grown a thick skin throughout the years but still I know what is right and what's wrong. I recieved my first dickpic when I was 16. Now I'm 22 and still I get harrased on internet. What have I done to stop them texting me before? I have ignored, blocked and reported them. Still I get at least 3 harrasing texts per day from new men.

I got a lot of response yesterday. Many girls told me they get same type of DMs and how horrible it makes them feel. Women told me they were proud of me for what I did. Guys told me that it's awful that I had to deal with that type of things. Most of them told me just to ignore that type of creeps or that I should grow a thicker skin. Some told me it was the price of fame.

My response to that was: ""No, it's the price of being born female."" They told me that they were sorry to hear that. 
Sexual harrasment is NEVER okay. It should not be ignored. Showing people that you have been treated badly is not something you should be shamed of. This is not about being weak. This is power of #metoo.

Be brave everyone!",9,https://instagram.fyvr3-1.fna.fbcdn.net/vp/d072a3fbd29d56ff98f6d46ef3f4a431/5D059563/t51.2885-15/e35/52082765_424294074778602_5464181530157588578_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990658779433129881,False,72,0,0,0,,Lenita Susi,1533731604,lenitasusi,BugPZzpH9eZ,,1551525040
#skybarbangkok #whoscute #yesheis #metoo #wronghashtag,3,https://instagram.fyvr3-1.fna.fbcdn.net/vp/e389a5e0a06b872d102ac10a57397a95/5D01E70B/t51.2885-15/e35/52557171_172135787102169_4175954960767933458_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990658865800198909,False,15,0,0,0,,kubajz,247253773,kubajz_c,BugPbEFALr9,"kubajz_c,michaelkapernick",1551525050
"On 28th February, a group of 30 Bangaloreans gathered at our courtyard to discuss the Art vs Artist issue, in light of #MeToo. 
As a cultural venue, we have been pondering over how to look at the issue, whether to dismiss art created by artists accused of misdeeds, or view an artwork as having its own life, independent of the creator.

In a most engaging discussion moderated by Pavithra Sankaran, we managed to touch upon various aspects of the problem by creating a safe space for conversation. From the role of the individual vs collective opinion, to the role of social media in today’s outrage culture, to the sharing of experiences and thoughts on the matter, it was a wholesome discussion that brought up and addressed some essential questions, as well as threw light on the grey areas.

Having said that, it was not easy to come to one conclusion or solution given the vastness of the topic. Here are a few thought-provoking questions that came up which we’d like to leave you to think about: -What are the implications of separating an artwork from the artist? -In the #MeToo era, do artworks made my wrongdoers deserve a place in museums and galleries? -By appreciating or looking at a work made by a known miscreant, are you enabling the perpetrator? -Is boycotting and public shaming the only way to tackle this issue? Or are there more humane solutions like reforms? -Finally, what is your take on the issue?

You can share your thoughts in the Comments section or email us atinfo@thecourtyardcommunity.in. We hope to have many more such open discussions in the near future.",0,https://instagram.fyvr3-1.fna.fbcdn.net/vp/138b0bf3516f072e5edd9b0fc97c249e/5D19E841/t51.2885-15/e35/52428268_121911618918545_3415145786414686573_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990659297110830054,False,9,0,0,0,,The Courtyard,7642389402,thecourtyardcommunity,BugPhVxHqvm,,1551525102
"If i showed you my flaws, if i could’nt be strong , tell me honeslty... will you still love me the same ? ❤️ •
#insta #instagood #belgium  #belgiumgirl #singel #single #songtekst #lyrics #likeforlikes #followforfollowback #myself #black #white #blackandwhite #happy #happines #eyes #arre #metoo",12,https://instagram.fyvr3-1.fna.fbcdn.net/vp/d29154a48492eef7b9551949862924fb/5D1CD225/t51.2885-15/e35/51895357_397149071070587_5953015345826976808_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990660011484540506,False,30,0,0,0,,ᴍᴀʀʀɪᴇᴅ💍❤️ ²⁰•¹²•¹⁸🥰,1779139310,arreuhh_x,BugPrvFHG5a,"emmake147,y.rutjes,terance_asasar,fleursinac,_.latina152,jeffreyn1995,othmanebenssellam,zahratje2004,yus_weebtku,liese.persoons,yarno_smets,robbe.bruggeman,tjardoxo,kianopieret,sam_langers,lusine.tsatinyan,amin_eda234,emily_rosinski_05,its_the_girl_here,arne.dc",1551525187
"화장실에 있는 카메라를 누가 뽑아줬다
#metoo #구리역 #몰카 #불법촬영",0,https://instagram.fyvr3-1.fna.fbcdn.net/vp/eaf6c1cf0f92716429f337a186b017d4/5D22EA79/t51.2885-15/e35/51861605_177403963223222_4519339245326130451_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net,1990660066571122636,False,3,0,0,0,,예닝,11418273297,yening_jam,BugPsiYhvfM,,1551525193
