created_date;is_retweet?;text;text_retweet;language;hashtags;mentions;location;geo_location;geo_country;geo_coordinates;user_created_at;screen_name;profile_description;total_number_of_tweets;is_verified?;followers_count;friends_count;retweets_count;favorite_count;language_desc;tweet_full;pre_proc_tweet;stop_filter_tweet;pos_tags;stem_filter;lemma_filter
2019-02-22 17:13:21;True;;"""Latin American women scientists are immersed in a society where culturally ingrained masculine pride (“machismo”) is normalized and deeply intertwined with the scientific endeavor"" Thanks @XEBernal et al for the letter! #womeninscience #METOO
https://t.co/LW1YRV5isc";en;; 'Cristina Dorador';Concepcion, Chile;;;;2009-07-20 01:44:52;NonnyLand;"I deserve a Tony Award ™ for living theatrically in normal life. I rant a lot (mostly Eurovision) As Amy Poehler said ""I don't fucking care if you like it""";82440;False;696;2219;40;0;english;"""Latin American women scientists are immersed in a society where culturally ingrained masculine pride (“machismo”) is normalized and deeply intertwined with the scientific endeavor"" Thanks @XEBernal et al for the letter! #womeninscience #METOO
https://t.co/LW1YRV5isc";"""latin american women scientists are immersed in a society where culturally ingrained masculine pride (“machismo”) is normalized and deeply intewined with the scientific endeavor"" thanks  et al for the letter!  
";`` latin american women scientists immersed society culturally ingrained masculine pride ( “ machismo ” ) normalized deeply intewined scientific endeavor '' thanks et al letter ! ;[('``', '``'), ('latin', 'JJ'), ('american', 'JJ'), ('women', 'NNS'), ('scientists', 'NNS'), ('immersed', 'VBD'), ('society', 'NN'), ('culturally', 'RB'), ('ingrained', 'JJ'), ('masculine', 'NN'), ('pride', 'NN'), ('(', '('), ('“', 'JJ'), ('machismo', 'NN'), ('”', 'NN'), (')', ')'), ('normalized', 'VBD'), ('deeply', 'RB'), ('intewined', 'JJ'), ('scientific', 'JJ'), ('endeavor', 'NN'), ('``', '``'), ('thanks', 'NNS'), ('et', 'VBP'), ('al', 'JJ'), ('letter', 'NN'), ('!', '.')];`` latin american women scientist immers societi cultur ingrain masculin pride ( “ machismo ” ) normal deepli intewin scientif endeavor `` thank et al letter !;`` latin american woman scientist immerse society culturally ingrained masculine pride ( “ machismo ” ) normalize deeply intewined scientific endeavor `` thanks et al letter !
2019-02-22 17:13:19;True;;Lo bueno de movimientos como #MeToo es que nos muestran lo común y normalizado que estaba o está el acoso sexual contra las niñas y mujeres. Ojalá perduren y se hagan sentir con fuerza en #Colombia.;es;'MeToo'; 'Sergio Camacho';Bucaramanga;;;;2009-04-20 22:35:21;paola_esteban;Periodista de Vanguardia Liberal. Escritora de ficción.;16354;False;567;295;3;0;spanish;Lo bueno de movimientos como #MeToo es que nos muestran lo común y normalizado que estaba o está el acoso sexual contra las niñas y mujeres. Ojalá perduren y se hagan sentir con fuerza en #Colombia.;lo bueno de movimientos como  es que nos muestran lo común y normalizado que estaba o está el acoso sexual contra las niñas y mujeres. ojalá perduren y se hagan sentir con fuerza en ;bueno movimientos muestran común normalizado acoso sexual niñas mujeres . ojalá perduren hagan sentir fuerza ;[('bueno', 'NN'), ('movimientos', 'NN'), ('muestran', 'NN'), ('común', 'NN'), ('normalizado', 'JJ'), ('acoso', 'JJ'), ('sexual', 'JJ'), ('niñas', 'NN'), ('mujeres', 'NNS'), ('.', '.'), ('ojalá', 'JJ'), ('perduren', 'NN'), ('hagan', 'NN'), ('sentir', 'VBD'), ('fuerza', 'NN')];bueno movimiento muestran común normalizado acoso sexual niña mujer . ojalá perduren hagan sentir fuerza;bueno movimientos muestran común normalizado acoso sexual niñas mujeres . ojalá perduren hagan sentir fuerza
2019-02-22 17:13:00;True;;"After Amanda Seales Accused Him of Sexually Harassing Her Over The Phone, Ex-NFL &amp; Neurosurgeon Myron Rolle Goes to IG to Say She's Trying to #MeToo Him Because He Didn't Want to Be Her Man or Meet Her in Person (Video-IG Post) https://t.co/QmSdBaMHI5 https://t.co/uTnGD1dfjR";en;; 'Robert Littal';Atlanta, GA;;;;2013-07-30 00:11:25;Gerald_Huggins;⚫️Certified Bodyguard/Executive Protection Agent ⚫️Educator ⚫️Egbe Ogun Afrikan Martial Arts ⚫️CAU Grad Student Brooklyn➡️Atlanta  🐜🦍🦅;64749;False;2725;1415;706;0;english;"After Amanda Seales Accused Him of Sexually Harassing Her Over The Phone, Ex-NFL &amp; Neurosurgeon Myron Rolle Goes to IG to Say She's Trying to #MeToo Him Because He Didn't Want to Be Her Man or Meet Her in Person (Video-IG Post) https://t.co/QmSdBaMHI5 https://t.co/uTnGD1dfjR";"after amanda seales accused him of sexually harassing her over the phone, ex-nfl &amp; neurosurgeon myron rolle goes to ig to say she's trying to  him because he didn't want to be her man or meet her in person (video-ig post)  ";"amanda seales accused sexually harassing phone , ex-nfl & amp ; neurosurgeon myron rolle goes ig say 's trying n't want man meet person ( video-ig post ) ";"[('amanda', 'NN'), ('seales', 'NNS'), ('accused', 'VBN'), ('sexually', 'RB'), ('harassing', 'VBG'), ('phone', 'NN'), (',', ','), ('ex-nfl', 'JJ'), ('&', 'CC'), ('amp', 'NN'), (';', ':'), ('neurosurgeon', 'CC'), ('myron', 'VB'), ('rolle', 'NN'), ('goes', 'VBZ'), ('ig', 'NNS'), ('say', 'VBP'), (""'s"", 'POS'), ('trying', 'VBG'), (""n't"", 'RB'), ('want', 'VB'), ('man', 'NN'), ('meet', 'VB'), ('person', 'NN'), ('(', '('), ('video-ig', 'JJ'), ('post', 'NN'), (')', ')')]";"amanda seal accus sexual harass phone , ex-nfl & amp ; neurosurgeon myron roll goe ig say 's tri n't want man meet person ( video-ig post )";"amanda seales accuse sexually harass phone , ex-nfl & amp ; neurosurgeon myron rolle go ig say 's try n't want man meet person ( video-ig post )"
2019-02-22 17:12:53;True;;Everyone in support of #METOO AND #TIMESUP — please support the alleged victims in the Epstein case. There are so many.. WITH NO VOICE.  Don’t stop asking questions.;en;'METOO', 'TIMESUP'; 'Mika Brzezinski';Natchitoches, Louisiana;;;;2016-09-01 22:21:24;chustz_barbara;Left of Liberal!;13796;False;193;148;611;0;english;Everyone in support of #METOO AND #TIMESUP — please support the alleged victims in the Epstein case. There are so many.. WITH NO VOICE.  Don’t stop asking questions.;everyone in suppo of  and  — please suppo the alleged victims in the epstein case. there are so many.. with no voice.  don’t stop asking questions.;everyone suppo — please suppo alleged victims epstein case . many.. voice . ’ stop asking questions . ;[('everyone', 'NN'), ('suppo', 'NN'), ('—', 'NNP'), ('please', 'NN'), ('suppo', 'NN'), ('alleged', 'VBD'), ('victims', 'NNS'), ('epstein', 'DT'), ('case', 'NN'), ('.', '.'), ('many..', 'JJ'), ('voice', 'NN'), ('.', '.'), ('’', 'CC'), ('stop', 'JJ'), ('asking', 'NN'), ('questions', 'NNS'), ('.', '.')];everyon suppo — pleas suppo alleg victim epstein case . many.. voic . ’ stop ask question .;everyone suppo — please suppo allege victim epstein case . many.. voice . ’ stop asking question .
2019-02-22 17:12:49;True;;"@mitchellreports @peterbakernyt @Mimirocah1 @BarbMcQuade @PhilipRucker @GarrettHaake @carlsonmargaret @RichardEngel @JohnBrennan @LACaldwellDC @HeidiNBC @MSNBC DNC Media BlacksOut #TimesUp Founder CEo Resigned Because Of Son’s #MeToo Scandal!  
What Can Democrat Socialists Run On? Scandals Kill ALL DNC Smear Campaigns! 
#Virginia #Blackface Gov #Northam #Herring  #Metoo #Fairfax
#AntiSemetism #JussieSmolettHoax 
#KAF2020 #NeverSocialism https://t.co/rICG0xgN3h";en;; 'Media Shrink' 'Andrea Mitchell' 'Peter Baker' 'Mimi Rocah' 'Barb McQuade' 'Philip Rucker' 'Garrett Haake' 'Margaret Carlson' 'Richard Engel';;;;;2019-01-21 17:45:27;cubsflag;Very unbiased person;5036;False;76;336;2;0;english;"@mitchellreports @peterbakernyt @Mimirocah1 @BarbMcQuade @PhilipRucker @GarrettHaake @carlsonmargaret @RichardEngel @JohnBrennan @LACaldwellDC @HeidiNBC @MSNBC DNC Media BlacksOut #TimesUp Founder CEo Resigned Because Of Son’s #MeToo Scandal!  
What Can Democrat Socialists Run On? Scandals Kill ALL DNC Smear Campaigns! 
#Virginia #Blackface Gov #Northam #Herring  #Metoo #Fairfax
#AntiSemetism #JussieSmolettHoax 
#KAF2020 #NeverSocialism https://t.co/rICG0xgN3h";"            dnc media blacksout  founder ceo resigned because of son’s  scandal!  
what can democrat socialists run on? scandals kill all dnc smear campaigns! 
  gov     airfax
  
  ";dnc media blacksout founder ceo resigned son ’ scandal ! democrat socialists run ? scandals kill dnc smear campaigns ! gov airfax ;[('dnc', 'JJ'), ('media', 'NNS'), ('blacksout', 'IN'), ('founder', 'NN'), ('ceo', 'NN'), ('resigned', 'VBD'), ('son', 'JJ'), ('’', 'NNP'), ('scandal', 'NN'), ('!', '.'), ('democrat', 'JJ'), ('socialists', 'NNS'), ('run', 'VB'), ('?', '.'), ('scandals', 'NNS'), ('kill', 'VBP'), ('dnc', 'JJ'), ('smear', 'JJ'), ('campaigns', 'NNS'), ('!', '.'), ('gov', 'NN'), ('airfax', 'NN')];dnc media blacksout founder ceo resign son ’ scandal ! democrat socialist run ? scandal kill dnc smear campaign ! gov airfax;dnc medium blacksout founder ceo resign son ’ scandal ! democrat socialist run ? scandal kill dnc smear campaign ! gov airfax
2019-02-22 17:12:45;True;;"@adamgoldmanNYT This👇
Lawsuit against Donald Trump for raping a 13 yr old CHILD #Epstein 
#LockHimUpAndThrowAwayKey ❗❗❗
#JusticeForKatie 
@LisaBloom
#JaneDoe #KatieJohnson 
🚨 #TrumpChildRapist #JusticeForSurvivors 

#metoo
 #TrumpRape https://t.co/KbqR6yFGp5";en;'Epstein', 'LockHimUpAndThrowAwayKey'; 'Linda KWS' 'Adam Goldman';It's not a witch hunt, it's 'which' hunt now;;;;2017-01-29 22:26:05;MusicSuthsSouls;don j trump is the biggest threat to our nat sec we've ever had. He puts the words of dictators above all else, & defends them in the murdering of innocent ppl.;10545;False;293;713;3;0;english;"@adamgoldmanNYT This👇
Lawsuit against Donald Trump for raping a 13 yr old CHILD #Epstein 
#LockHimUpAndThrowAwayKey ❗❗❗
#JusticeForKatie 
@LisaBloom
#JaneDoe #KatieJohnson 
🚨 #TrumpChildRapist #JusticeForSurvivors 

#metoo
 #TrumpRape https://t.co/KbqR6yFGp5";" this👇
lawsuit against donald trump for raping a 13 yr old child  
 ❗❗❗
 
isabloom
  
🚨   

etoo
  ";this👇 lawsuit donald trump raping 13 yr old child ❗❗❗ isabloom 🚨 etoo ;[('this👇', 'NN'), ('lawsuit', 'NN'), ('donald', 'VBZ'), ('trump', 'JJ'), ('raping', 'VBG'), ('13', 'CD'), ('yr', 'JJ'), ('old', 'JJ'), ('child', 'NN'), ('❗❗❗', 'NNP'), ('isabloom', 'NN'), ('🚨', 'NNP'), ('etoo', 'NN')];this👇 lawsuit donald trump rape 13 yr old child ❗❗❗ isabloom 🚨 etoo;this👇 lawsuit donald trump rap 13 yr old child ❗❗❗ isabloom 🚨 etoo
2019-02-22 17:12:45;False;¿Cómo educar varones en la edad del #MeToo? https://t.co/Ro4oEVF0PR;;es;'MeToo'; ;BARCELONA;;;;2010-01-18 07:25:03;lfilella;"Mestre jubilat d'escola  pública.
Ex-delegat de CCOO educació.";120589;False;2453;470;0;0;spanish;¿Cómo educar varones en la edad del #MeToo? https://t.co/Ro4oEVF0PR;¿cómo educar varones en la edad del  ;¿cómo educar varones edad ;[('¿cómo', 'NN'), ('educar', 'NN'), ('varones', 'NNS'), ('edad', 'VBP')];¿cómo educar varon edad;¿cómo educar varones edad
2019-02-22 17:12:42;True;;"#FridayFeeling: disgust.

#WeSaidEnough to sexual harassment but clearly not all of you got the message I see you hiring campaign operatives with shady pasts enabling abuse. 

The LEAST you can do is train your ENTIRE team on #metoo anti-harassment with clear, swift consequences.";en;'FridayFeeling', 'WeSaidEnough'; 'Christine Pelosi';;;;;2012-10-23 01:25:00;sharonfisher68;"#TheResistance
#NeverTrump";47303;False;5395;5516;60;0;english;"#FridayFeeling: disgust.

#WeSaidEnough to sexual harassment but clearly not all of you got the message I see you hiring campaign operatives with shady pasts enabling abuse. 

The LEAST you can do is train your ENTIRE team on #metoo anti-harassment with clear, swift consequences.";" disgust.

 to sexual harassment but clearly not all of you got the message i see you hiring campaign operatives with shady pasts enabling abuse. 

the least you can do is train your entire team on  anti-harassment with clear, swift consequences.";disgust . sexual harassment clearly got message see hiring campaign operatives shady pasts enabling abuse . least train entire team anti-harassment clear , swift consequences . ;[('disgust', 'NN'), ('.', '.'), ('sexual', 'JJ'), ('harassment', 'NN'), ('clearly', 'RB'), ('got', 'VBD'), ('message', 'JJ'), ('see', 'NN'), ('hiring', 'VBG'), ('campaign', 'NN'), ('operatives', 'NNS'), ('shady', 'JJ'), ('pasts', 'NNS'), ('enabling', 'VBG'), ('abuse', 'NN'), ('.', '.'), ('least', 'JJS'), ('train', 'NN'), ('entire', 'JJ'), ('team', 'NN'), ('anti-harassment', 'NN'), ('clear', 'JJ'), (',', ','), ('swift', 'JJ'), ('consequences', 'NNS'), ('.', '.')];disgust . sexual harass clearli got messag see hire campaign oper shadi past enabl abus . least train entir team anti-harass clear , swift consequ .;disgust . sexual harassment clearly get message see hire campaign operative shady past enable abuse . least train entire team anti-harassment clear , swift consequence .
2019-02-22 17:12:12;True;;"We will expose &amp; bring down Kraft, Trump, Epstein, Dershowitz, Barrack, Clinton, Acosta, Ken Starr &amp; all the other pedophiles, traffickers, rapists &amp; their enablers. Hey America, google Trump Models Inc 
PS Our imposter POTUS owns brothels in China to this day #TimesUp #MeToo";en;; 'A Toone ⚧';New York City;;;;2009-01-12 20:12:56;davashewolf;Freedom Loving Guitarista, Atheist, Mother Of Gatos, Bourbon Fan. #RESIST NO LISTS;14988;False;2512;4962;3;0;english;"We will expose &amp; bring down Kraft, Trump, Epstein, Dershowitz, Barrack, Clinton, Acosta, Ken Starr &amp; all the other pedophiles, traffickers, rapists &amp; their enablers. Hey America, google Trump Models Inc 
PS Our imposter POTUS owns brothels in China to this day #TimesUp #MeToo";"we will expose &amp; bring down kraft, trump, epstein, dershowitz, barrack, clinton, acosta, ken starr &amp; all the other pedophiles, traffickers, rapists &amp; their enablers. hey america, google trump models inc 
ps our imposter potus owns brothels in china to this day  ";"expose & amp ; bring kraft , trump , epstein , dershowitz , barrack , clinton , acosta , ken starr & amp ; pedophiles , traffickers , rapists & amp ; enablers . hey america , google trump models inc ps imposter potus owns brothels china day ";"[('expose', 'RB'), ('&', 'CC'), ('amp', 'RB'), (';', ':'), ('bring', 'VB'), ('kraft', 'NN'), (',', ','), ('trump', 'NN'), (',', ','), ('epstein', 'NN'), (',', ','), ('dershowitz', 'NN'), (',', ','), ('barrack', 'NN'), (',', ','), ('clinton', 'NN'), (',', ','), ('acosta', 'NN'), (',', ','), ('ken', 'VBN'), ('starr', 'NN'), ('&', 'CC'), ('amp', 'NN'), (';', ':'), ('pedophiles', 'NNS'), (',', ','), ('traffickers', 'NNS'), (',', ','), ('rapists', 'NNS'), ('&', 'CC'), ('amp', 'NN'), (';', ':'), ('enablers', 'NNS'), ('.', '.'), ('hey', 'NN'), ('america', 'NN'), (',', ','), ('google', 'NN'), ('trump', 'NN'), ('models', 'NNS'), ('inc', 'VBP'), ('ps', 'JJ'), ('imposter', 'NN'), ('potus', 'NN'), ('owns', 'VBZ'), ('brothels', 'NNS'), ('china', 'NNS'), ('day', 'NN')]";"expos & amp ; bring kraft , trump , epstein , dershowitz , barrack , clinton , acosta , ken starr & amp ; pedophil , traffick , rapist & amp ; enabl . hey america , googl trump model inc ps impost potu own brothel china day";"expose & amp ; bring kraft , trump , epstein , dershowitz , barrack , clinton , acosta , ken starr & amp ; pedophile , trafficker , rapist & amp ; enablers . hey america , google trump model inc ps imposter potus own brothel china day"
2019-02-22 17:12:10;True;;"This is where the #metoo movement is doing the most damage. If you say ""believe survivors"" than you are also impying the accused is therefore guilty. Humanity lost its innocence long time ago, so we cant just take peoples words as truth. 
#MeToo #LeavingNeverland #MichaelJackson https://t.co/UUXG7Jw5Yq";en;'metoo'; 'ARTemis';;;;;2018-09-30 18:45:43;superflyjunkie;MJ fan acct. post mostly Mike, occasionally wrestling and food.🤷🏽‍♀️ (acct name used to be glazedonuts). #justice4mj;1226;False;77;122;14;0;english;"This is where the #metoo movement is doing the most damage. If you say ""believe survivors"" than you are also impying the accused is therefore guilty. Humanity lost its innocence long time ago, so we can not just take peoples words as truth. 
#MeToo #LeavingNeverland #MichaelJackson https://t.co/UUXG7Jw5Yq";"this is where the  movement is doing the most damage. if you say ""believe survivors"" than you are also impying the accused is therefore guilty. humanity lost its innocence long time ago, so we can not just take peoples words as truth. 
   ";movement damage . say `` believe survivors '' also impying accused therefore guilty . humanity lost innocence long time ago , take peoples words truth . ;[('movement', 'NN'), ('damage', 'NN'), ('.', '.'), ('say', 'VBP'), ('``', '``'), ('believe', 'VBP'), ('survivors', 'NNS'), ('``', '``'), ('also', 'RB'), ('impying', 'VBG'), ('accused', 'VBN'), ('therefore', 'RB'), ('guilty', 'JJ'), ('.', '.'), ('humanity', 'NN'), ('lost', 'VBD'), ('innocence', 'NN'), ('long', 'JJ'), ('time', 'NN'), ('ago', 'RB'), (',', ','), ('take', 'VBP'), ('peoples', 'NNS'), ('words', 'NNS'), ('truth', 'NN'), ('.', '.')];movement damag . say `` believ survivor `` also impi accus therefor guilti . human lost innoc long time ago , take peopl word truth .;movement damage . say `` believe survivor `` also impying accuse therefore guilty . humanity lose innocence long time ago , take people word truth .
