created_date;is_retweet?;text;text_retweet;language;hashtags;mentions;location;geo_location;geo_country;geo_coordinates;user_created_at;screen_name;profile_description;total_number_of_tweets;is_verified?;followers_count;friends_count;retweets_count;favorite_count;language_desc;tweet_full;pre_proc_tweet;stop_filter_tweet;pos_tags;stem_filter;lemma_filter
2019-02-23 17:13:29;True;;"@Tom_Winter @kazweida The shame is that these trafficked women from China are forced into sexual acts = no consent = rape, and #Kraft is only being charged with a misdemeanor.  His supporters will say he didn’t know; but if these women were forced, then he committed rape.  #nfl. #metoo.";en;; 'Andrew Young' 'Tom Winter' 'Kaz Weida';Florida, USA;;;;2018-05-23 13:13:01;gwendolynwjk;Retired educator. Interested in politics.  Worked 40 years as a top level educator before retiring. Member of various community & social organizations.;6747;False;15;70;5;0;english;"@Tom_Winter @kazweida The shame is that these trafficked women from China are forced into sexual acts = no consent = rape, and #Kraft is only being charged with a misdemeanor.  His supporters will say he didn’t know; but if these women were forced, then he committed rape.  #nfl. #metoo.";"  the shame is that these trafficked women from china are forced into sexual acts = no consent = rape, and  is only being charged with a misdemeanor.  his suppoers will say he didn’t know; but if these women were forced, then he committed rape.   ";"shame trafficked women china forced sexual acts = consent = rape , charged misdemeanor . suppoers say ’ know ; women forced , committed rape . ";"[('shame', 'NN'), ('trafficked', 'VBD'), ('women', 'NNS'), ('china', 'RB'), ('forced', 'VBD'), ('sexual', 'JJ'), ('acts', 'NNS'), ('=', 'JJ'), ('consent', 'NN'), ('=', 'NN'), ('rape', 'NN'), (',', ','), ('charged', 'VBN'), ('misdemeanor', 'NN'), ('.', '.'), ('suppoers', 'NNS'), ('say', 'VBP'), ('’', 'NNS'), ('know', 'VBP'), (';', ':'), ('women', 'NNS'), ('forced', 'VBD'), (',', ','), ('committed', 'JJ'), ('rape', 'NN'), ('.', '.')]";"shame traffick women china forc sexual act = consent = rape , charg misdemeanor . suppoer say ’ know ; women forc , commit rape .";"shame traffic woman china force sexual act = consent = rape , charge misdemeanor . suppoers say ’ know ; woman force , committed rape ."
2019-02-23 17:13:17;True;;Today is Kashmiri Women's Resistance Day, when we remember the amazingly courageous women of Kunan Poshpora who have been battling since Feb 23 1991 for justice against mass rape. #KashmiriWomensresistanceDay  #MeToo⁠ ⁠#AuratMarch2019 https://t.co/xUnCV52okg;en;; 'Aurat March Lahore';Tirunelveli. TN. INDIA;;;;2009-08-20 09:16:24;disruptor_v;Dropout| Jobless| Eat, Sleep, Hate| Introvert| Gadgets| Weapons| Atheist| #CHELSEA| Geek| Politics| Perfectionist| Critic| Observer|;87063;False;767;673;40;0;english;Today is Kashmiri Women's Resistance Day, when we remember the amazingly courageous women of Kunan Poshpora who have been battling since Feb 23 1991 for justice against mass rape. #KashmiriWomensresistanceDay  #MeToo⁠ ⁠#AuratMarch2019 https://t.co/xUnCV52okg;today is kashmiri women's resistance day, when we remember the amazingly courageous women of kunan poshpora who have been battling since feb 23 1991 for justice against mass rape.    ⁠ ;today kashmiri women 's resistance day , remember amazingly courageous women kunan poshpora battling since feb 23 1991 justice mass rape . ⁠ ;"[('today', 'NN'), ('kashmiri', 'VBP'), ('women', 'NNS'), (""'s"", 'POS'), ('resistance', 'NN'), ('day', 'NN'), (',', ','), ('remember', 'VB'), ('amazingly', 'RB'), ('courageous', 'JJ'), ('women', 'NNS'), ('kunan', 'VBD'), ('poshpora', 'IN'), ('battling', 'VBG'), ('since', 'IN'), ('feb', 'NN'), ('23', 'CD'), ('1991', 'CD'), ('justice', 'NN'), ('mass', 'NN'), ('rape', 'NN'), ('.', '.'), ('\u2060', 'NN')]";today kashmiri women 's resist day , rememb amazingli courag women kunan poshpora battl sinc feb 23 1991 justic mass rape . ⁠;today kashmiri woman 's resistance day , remember amazingly courageous woman kunan poshpora battle since feb 23 1991 justice mass rape . ⁠
2019-02-23 17:13:13;True;;"#Metoo #SuperDeluxe #Brexit #FridayFeeling #Trump #BLACKPINK #BBCBreakfast #INDvENG #technology
But no feminist will complain against this. Feminism means keep blaming men to make extortions and misandrist laws from Governments. 
https://t.co/Jk1zYYMRpm";en;'Metoo', 'SuperDeluxe', 'Brexit', 'FridayFeeling', 'Trump', 'BLACKPINK', 'BBCBreakfast', 'INDvENG', 'technology'; 'Ritu G';Belgaum, India;;;;2010-07-04 18:10:24;vinayakumarvs;Born simple & brought up by rich culture. A statician has worked in Pharma, Retail & social media. Baby step in manufacturing domain.;27740;False;519;1446;20;0;english;"#Metoo #SuperDeluxe #Brexit #FridayFeeling #Trump #BLACKPINK #BBCBreakfast #INDvENG #technology
But no feminist will complain against this. Feminism means keep blaming men to make extortions and misandrist laws from Governments. 
https://t.co/Jk1zYYMRpm";"        echnology
but no feminist will complain against this. feminism means keep blaming men to make extoions and misandrist laws from governments. 
";echnology feminist complain . feminism means keep blaming men make extoions misandrist laws governments . ;[('echnology', 'NN'), ('feminist', 'NN'), ('complain', 'NN'), ('.', '.'), ('feminism', 'NN'), ('means', 'VBZ'), ('keep', 'VB'), ('blaming', 'VBG'), ('men', 'NNS'), ('make', 'VBP'), ('extoions', 'NNS'), ('misandrist', 'VB'), ('laws', 'NNS'), ('governments', 'NNS'), ('.', '.')];echnolog feminist complain . femin mean keep blame men make extoion misandrist law govern .;echnology feminist complain . feminism mean keep blame men make extoions misandrist law government .
2019-02-23 17:13:03;False;"Is it possible that Mutilated Manhood has been one of the causes of all these #MeToo assault &amp; harassment accusations? Scientists or pollsters could study the difference between the numbers of #Intact men &amp; adult victims of #Circumcision. Continued ↓";;en;'MeToo', 'Intact', 'Circumcision'; ;Tucson;;;;2009-06-29 18:38:13;MarylkaMP;"Conservative 🌵 Tucson 🌵 Native; Pro-Life🦎; Proud Mother.";6810;False;1701;1639;0;2;english;"Is it possible that Mutilated Manhood has been one of the causes of all these #MeToo assault &amp; harassment accusations? Scientists or pollsters could study the difference between the numbers of #Intact men &amp; adult victims of #Circumcision. Continued ↓";"is it possible that mutilated manhood has been one of the causes of all these  assault &amp; harassment accusations? scientists or pollsters could study the difference between the numbers of  men &amp; adult victims of  continued ↓";"possible mutilated manhood one causes assault & amp ; harassment accusations ? scientists pollsters could study difference numbers men & amp ; adult victims continued ↓ ";"[('possible', 'JJ'), ('mutilated', 'VBD'), ('manhood', 'NN'), ('one', 'CD'), ('causes', 'VBZ'), ('assault', 'NN'), ('&', 'CC'), ('amp', 'NN'), (';', ':'), ('harassment', 'NN'), ('accusations', 'NNS'), ('?', '.'), ('scientists', 'NNS'), ('pollsters', 'NNS'), ('could', 'MD'), ('study', 'VB'), ('difference', 'NN'), ('numbers', 'NNS'), ('men', 'NNS'), ('&', 'CC'), ('amp', 'NN'), (';', ':'), ('adult', 'NN'), ('victims', 'NNS'), ('continued', 'VBD'), ('↓', 'JJ')]";"possibl mutil manhood one caus assault & amp ; harass accus ? scientist pollster could studi differ number men & amp ; adult victim continu ↓";"possible mutilate manhood one cause assault & amp ; harassment accusation ? scientist pollster could study difference number men & amp ; adult victim continue ↓"
2019-02-23 17:13:02;True;;"Let's talk about how the president is a rapist &amp; a sexual predator.

I'd rather not, but after his abominable #MeToo comment last night, it's what EVERYONE should be talking about. Especially in the media.

[THREAD] https://t.co/CWB2r4CvAd";en;'MeToo'; 'Greg Olear';Dublin!;;;;2010-04-19 17:21:38;iaBreakfast;And Yes she said Yes I will Yes.https://t.co/WOEURhInLu;1621;False;296;191;6917;0;english;"Let's talk about how the president is a rapist &amp; a sexual predator.

I'd rather not, but after his abominable #MeToo comment last night,  what EVERYONE should be talking about. Especially in the media.

[THREAD] https://t.co/CWB2r4CvAd";"let's talk about how the president is a rapist &amp; a sexual predator.

i'd rather not, but after his abominable  comment last night,  what everyone should be talking about. especially in the media.

[thread] ";"let 's talk president rapist & amp ; sexual predator . 'd rather , abominable comment last night , everyone talking . especially media . [ thread ] ";"[('let', 'NN'), (""'s"", 'POS'), ('talk', 'NN'), ('president', 'NN'), ('rapist', 'NN'), ('&', 'CC'), ('amp', 'NN'), (';', ':'), ('sexual', 'JJ'), ('predator', 'NN'), ('.', '.'), (""'d"", 'MD'), ('rather', 'RB'), (',', ','), ('abominable', 'JJ'), ('comment', 'NN'), ('last', 'JJ'), ('night', 'NN'), (',', ','), ('everyone', 'NN'), ('talking', 'VBG'), ('.', '.'), ('especially', 'RB'), ('media', 'NNS'), ('.', '.'), ('[', 'JJ'), ('thread', 'NN'), (']', 'NN')]";"let 's talk presid rapist & amp ; sexual predat . 'd rather , abomin comment last night , everyon talk . especi media . [ thread ]";"let 's talk president rapist & amp ; sexual predator . 'd rather , abominable comment last night , everyone talk . especially medium . [ thread ]"
2019-02-23 17:12:59;False;No Women Director Nominees Means #MeToo Has a Long Way to Go https://t.co/EB1YOhpQuv https://t.co/H2Vvqud85f;;en;'MeToo'; ;Tanga, Tanzania;;;;2016-03-28 18:04:13;wilsonjmashaka;"CEO & Founder Winestle Limited | @WinestleDesign @WinestleFood @NzuchiTZ | Serial Entrepreneur #Under25CEO | Web Designer | Photographer @GettyImages
#Father";24065;False;232;103;0;0;english;No Women Director Nominees Means #MeToo Has a Long Way to Go https://t.co/EB1YOhpQuv https://t.co/H2Vvqud85f;no women director nominees means  has a long way to go  ;women director nominees means long way go ;[('women', 'NNS'), ('director', 'NN'), ('nominees', 'NNS'), ('means', 'VBZ'), ('long', 'JJ'), ('way', 'NN'), ('go', 'VBP')];women director nomine mean long way go;woman director nominee mean long way go
2019-02-23 17:12:57;True;;"23 February 1991, Indian Army had raped 50+ women in #KunanPoshpora 

Those rapists never get punished, those women still struggling.

Indians don't speak about those women because they don't want to be called Anti National. SHAME. 

#KashmiriWomensResistanceDay #METOO https://t.co/jPbepoHF6c";en;'KunanPoshpora'; 'Md Asif Khan\u200f\u200e\u200e\u200e\u200e\u200e\u200e آصِف';indian occupied kashmir ;;;;2017-01-17 12:02:48;Suhayl_iok;Rebel from most militarised zone in universe;6384;False;248;241;184;0;english;"23 February 1991, Indian Army had raped 50+ women in #KunanPoshpora 

Those rapists never get punished, those women still struggling.

Indians do not speak about those women because they do not want to be called Anti National. SHAME. 

#KashmiriWomensResistanceDay #METOO https://t.co/jPbepoHF6c";"23 february 1991, indian army had raped 50+ women in  

those rapists never get punished, those women still struggling.

indians do not speak about those women because they do not want to be called anti national. shame. 

  ";23 february 1991 , indian army raped 50+ women rapists never get punished , women still struggling . indians speak women want called anti national . shame . ;[('23', 'CD'), ('february', 'JJ'), ('1991', 'CD'), (',', ','), ('indian', 'JJ'), ('army', 'NN'), ('raped', 'VBD'), ('50+', 'CD'), ('women', 'NNS'), ('rapists', 'VBZ'), ('never', 'RB'), ('get', 'VB'), ('punished', 'VBN'), (',', ','), ('women', 'NNS'), ('still', 'RB'), ('struggling', 'VBG'), ('.', '.'), ('indians', 'NNS'), ('speak', 'JJ'), ('women', 'NNS'), ('want', 'VBP'), ('called', 'VBN'), ('anti', 'JJ'), ('national', 'JJ'), ('.', '.'), ('shame', 'NN'), ('.', '.')];23 februari 1991 , indian armi rape 50+ women rapist never get punish , women still struggl . indian speak women want call anti nation . shame .;23 february 1991 , indian army rap 50+ woman rapists never get punish , woman still struggle . indian speak woman want call anti national . shame .
2019-02-23 17:12:55;True;;"3. Don’t think a ""sexy"" top and short shorts mean a girl’s okay with your sexual advances. More than a movement, #MeToo is a powerful entry point for discussing 14 key principles with young and #adolescent boys.      https://t.co/meOvYEmeWI";en;'MeToo'; 'Susan Newman Ph.D.';Philadelphia, PA;;;;2014-08-16 01:29:03;cnmonastero;;7554;False;341;1117;29;0;english;"3. Don’t think a ""sexy"" top and short shorts mean a girl’s okay with your sexual advances. More than a movement, #MeToo is a powerful entry point for discussing 14 key principles with young and #adolescent boys.      https://t.co/meOvYEmeWI";"3. don’t think a ""sexy"" top and sho shos mean a girl’s okay with your sexual advances. more than a movement,  is a powerful entry point for discussing 14 key principles with young and  boys.      ";3. ’ think `` sexy '' top sho shos mean girl ’ okay sexual advances . movement , powerful entry point discussing 14 key principles young boys . ;[('3', 'LS'), ('.', '.'), ('’', 'VB'), ('think', 'VBP'), ('``', '``'), ('sexy', 'JJ'), ('``', '``'), ('top', 'JJ'), ('sho', 'NN'), ('shos', 'NN'), ('mean', 'JJ'), ('girl', 'NN'), ('’', 'NNP'), ('okay', 'VBZ'), ('sexual', 'JJ'), ('advances', 'NNS'), ('.', '.'), ('movement', 'NN'), (',', ','), ('powerful', 'JJ'), ('entry', 'NN'), ('point', 'NN'), ('discussing', 'VBG'), ('14', 'CD'), ('key', 'JJ'), ('principles', 'NNS'), ('young', 'JJ'), ('boys', 'NNS'), ('.', '.')];3 . ’ think `` sexi `` top sho sho mean girl ’ okay sexual advanc . movement , power entri point discuss 14 key principl young boy .;3 . ’ think `` sexy `` top sho shos mean girl ’ okay sexual advance . movement , powerful entry point discuss 14 key principle young boy .
2019-02-23 17:12:53;True;;Everyone in support of #METOO AND #TIMESUP — please support the alleged victims in the Epstein case. There are so many.. WITH NO VOICE.  Don’t stop asking questions.;en;'METOO', 'TIMESUP'; 'Mika Brzezinski';Nebraska, USA;;;;2013-11-24 06:12:26;Racismliveson;I am of the Rebellious Slaves! I LOVE MY BLACK RACE!;26920;False;307;2552;611;0;english;Everyone in support of #METOO AND #TIMESUP — please support the alleged victims in the Epstein case. There are so many.. WITH NO VOICE.  Don’t stop asking questions.;everyone in suppo of  and  — please suppo the alleged victims in the epstein case. there are so many.. with no voice.  don’t stop asking questions.;everyone suppo — please suppo alleged victims epstein case . many.. voice . ’ stop asking questions . ;[('everyone', 'NN'), ('suppo', 'NN'), ('—', 'NNP'), ('please', 'NN'), ('suppo', 'NN'), ('alleged', 'VBD'), ('victims', 'NNS'), ('epstein', 'DT'), ('case', 'NN'), ('.', '.'), ('many..', 'JJ'), ('voice', 'NN'), ('.', '.'), ('’', 'CC'), ('stop', 'JJ'), ('asking', 'NN'), ('questions', 'NNS'), ('.', '.')];everyon suppo — pleas suppo alleg victim epstein case . many.. voic . ’ stop ask question .;everyone suppo — please suppo allege victim epstein case . many.. voice . ’ stop asking question .
2019-02-23 17:12:30;False;"Anyone with a link to @gcaw's scathing story in the @TheAtlantic on the rampant sexism &amp; sexual harassment in @SenSanders 2015 campaign....&amp; Bernie's woefully inadequate half assed ""apology""? Exactly...#Enough #whitemaleprivilege is a festering cancer in the media. 
#MeToo";;en;'Enough', 'whitemaleprivilege', 'MeToo'; 'Graeme Wood' 'The Atlantic' 'Bernie Sanders';Vermont;;;;2013-09-23 13:12:29;6nsinvt;R.N.-Retired. Wife to super smart & humble guy, Mom to 4 great kids. Catholic, Pro-Life,;217161;False;1070;1538;0;0;english;"Anyone with a link to @gcaw's scathing story in the @TheAtlantic on the rampant sexism &amp; sexual harassment in @SenSanders 2015 campaign....&amp; Bernie's woefully inadequate half assed ""apology""? Exactly...#Enough #whitemaleprivilege is a festering cancer in the media. 
#MeToo";"anyone with a link to  scathing story in the  on the rampant sexism &amp; sexual harassment in  2015 campaign....&amp; bernie's woefully inadequate half assed ""apology""? exactly...  is a festering cancer in the media. 
";"anyone link scathing story rampant sexism & amp ; sexual harassment 2015 campaign ... . & amp ; bernie 's woefully inadequate half assed `` apology '' ? exactly ... festering cancer media . ";"[('anyone', 'NN'), ('link', 'NN'), ('scathing', 'VBG'), ('story', 'NN'), ('rampant', 'JJ'), ('sexism', 'NN'), ('&', 'CC'), ('amp', 'NN'), (';', ':'), ('sexual', 'JJ'), ('harassment', 'NN'), ('2015', 'CD'), ('campaign', 'NN'), ('...', ':'), ('.', '.'), ('&', 'CC'), ('amp', 'NN'), (';', ':'), ('bernie', 'NN'), (""'s"", 'POS'), ('woefully', 'RB'), ('inadequate', 'JJ'), ('half', 'NN'), ('assed', 'VBD'), ('``', '``'), ('apology', 'NN'), ('``', '``'), ('?', '.'), ('exactly', 'RB'), ('...', ':'), ('festering', 'VBG'), ('cancer', 'NN'), ('media', 'NNS'), ('.', '.')]";"anyon link scath stori rampant sexism & amp ; sexual harass 2015 campaign ... . & amp ; berni 's woefulli inadequ half ass `` apolog `` ? exactli ... fester cancer media .";"anyone link scathing story rampant sexism & amp ; sexual harassment 2015 campaign ... . & amp ; bernie 's woefully inadequate half assed `` apology `` ? exactly ... fester cancer medium ."
